Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
mercury-60hp-fourstroke,Mercury 60HP FourStroke EFI Command Thrust,"<p>Mercury 60hp Command Thrust provides exceptional low-end torque for heavy boats. Features a larger 2.33:1 gear ratio and bigger prop for increased thrust. Perfect for pontoons and deck boats.</p><ul>
<li>Displacement: 995cc (4-cylinder)</li>
<li>Weight: 247 lbs (112 kg)</li>
<li>Fuel System: Electronic Fuel Injection</li>
<li>Command Thrust Gearing: 2.33:1</li>
<li>Alternator: 21 amp</li>
<li>SmartCraft Compatible</li>
</ul>",Mercury Marine,,Outboard Motor,"4-Stroke, 60HP, Command Thrust, EFI, Mercury",true,Shaft Length,20 inch,,,,,,,,MERC-60-CT-20,112000.0,shopify,4,deny,manual,7999.00,8699.00,true,true,190238475683,,,,false,,,,kg,,5900.00,active
mercury-60hp-fourstroke,,,,,,,,,25 inch,,,,,,,,MERC-60-CT-25,113000.0,shopify,3,deny,manual,8199.00,8899.00,true,true,190238475690,,,,,,,,kg,,6000.00,
mercury-40hp-fourstroke,Mercury 40HP FourStroke EFI,"<p>Mercury's 40hp FourStroke features Electronic Fuel Injection for turn-key starting and improved fuel economy. Single overhead cam design with 4 valves per cylinder delivers smooth, quiet power.</p><ul>
<li>Displacement: 747cc (3-cylinder)</li>
<li>Weight: 209 lbs (95 kg)</li>
<li>Fuel System: Electronic Fuel Injection</li>
<li>Alternator: 18 amp</li>
<li>Gear Ratio: 1.83:1</li>
<li>Big Tiller Compatible</li>
</ul>",Mercury Marine,,Outboard Motor,"4-Stroke, 40HP, EFI, Mercury",true,Shaft Length,15 inch,,,,,,,,MERC-40-EFI-15,95000.0,shopify,7,deny,manual,5899.00,6399.00,true,true,190238475669,,,,false,,,,kg,,4400.00,active
mercury-40hp-fourstroke,,,,,,,,,20 inch,,,,,,,,MERC-40-EFI-20,96000.0,shopify,5,deny,manual,6099.00,6599.00,true,true,190238475676,,,,,,,,kg,,4500.00,
mercury-9-9hp-command,Mercury 9.9HP Command Thrust,"<p>Mercury 9.9hp Command Thrust delivers 115 lbs of thrust - nearly 60% more than standard 9.9hp motors. Ideal for heavy loads, trolling, and pontoons. Features battery-free EFI for reliable starting.</p><ul>
<li>Displacement: 209cc</li>
<li>Weight: 95 lbs (43 kg)</li>
<li>Fuel System: Battery-Free EFI</li>
<li>Alternator: 6 amp (75 watt)</li>
<li>Command Thrust: Higher torque</li>
<li>Warranty: 3 Year Limited</li>
</ul>",Mercury Marine,,Outboard Motor,"4-Stroke, 9.9HP, Command Thrust, Mercury, Trolling",true,Shaft Length,15 inch,,,,,,,,MERC-9.9-CT-15,43000.0,shopify,15,deny,manual,2799.00,3099.00,true,true,190238475645,,,,false,,,,kg,,2100.00,active
mercury-9-9hp-command,,,,,,,,,20 inch,,,,,,,,MERC-9.9-CT-20,44000.0,shopify,10,deny,manual,2899.00,3199.00,true,true,190238475652,,,,,,,,kg,,2150.00,
mercury-25hp-fourstroke,Mercury 25HP FourStroke EFI,"<p>Mercury's 25 hp FourStroke outboard is the lightest 25hp engine in its class. Features electronic fuel injection (EFI) for easy starting, improved fuel efficiency, and instant throttle response. Perfect for fishing boats, pontoons, and inflatables.</p><ul>
<li>Displacement: 526cc</li>
<li>Weight: 157 lbs (71 kg)</li>
<li>Fuel System: Electronic Fuel Injection (EFI)</li>
<li>Alternator: 12 amp (145 watt)</li>
<li>Gear Ratio: 2.17:1</li>
<li>Warranty: 3 Year Limited</li>
</ul>",Mercury Marine,,Outboard Motor,"25HP, 4-Stroke, EFI, Mercury, Portable",true,Shaft Length,15 inch,,,,,,,,MERC-25-EFI-15,71000.0,shopify,12,deny,manual,3899.00,4299.00,true,true,190238475621,,,,false,,,,kg,,2900.00,active
mercury-25hp-fourstroke,,,,,,,,,20 inch,,,,,,,,MERC-25-EFI-20,73000.0,shopify,8,deny,manual,4099.00,4499.00,true,true,190238475638,,,,,,,,kg,,3050.00,
honda-bf250,Honda BF250 V6 VTEC,"<p>Honda's BF250 features VTEC (Variable Valve Timing &amp; Lift Electronic Control) technology for maximum performance. The 3.6L V6 delivers exceptional power with superior fuel economy. Includes NMEA 2000 compatibility.</p><ul>
<li>Engine Type: V6 VTEC</li>
<li>Displacement: 3583cc (3.6L)</li>
<li>Weight: 622 lbs (282 kg)</li>
<li>Fuel System: PGM-FI</li>
<li>Alternator: 90 amp</li>
<li>VTEC Technology</li>
<li>NMEA 2000 Compatible</li>
</ul>",Honda Marine,,Outboard Motor,"250HP, 4-Stroke, Honda, V6, VTEC",true,Shaft Length,25 inch,,,,,,,,HON-BF250-V6-25,282000.0,shopify,0,deny,manual,21999.00,23999.00,true,true,190238476024,,,,false,,,,kg,,16300.00,active
honda-bf250,,,,,,,,,30 inch,,,,,,,,HON-BF250-V6-30,284000.0,shopify,1,deny,manual,22499.00,24499.00,true,true,190238476025,,,,,,,,kg,,16550.00,
honda-bf225,Honda BF225 V6,"<p>Honda's BF225 V6 delivers exceptional power with advanced VTEC technology. Features Drive-by-Wire throttle control and Variable Valve Timing on all cylinders for maximum performance.</p><ul>
<li>Engine Type: V6 SOHC VTEC</li>
<li>Displacement: 3471cc</li>
<li>Weight: 606 lbs (275 kg)</li>
<li>Fuel System: PGM-FI</li>
<li>Alternator: 90 amp</li>
<li>Drive-by-Wire Throttle</li>
<li>Lean Burn Control</li>
</ul>",Honda Marine,,Outboard Motor,"225HP, DBW, Honda, V6, VTEC",true,Shaft Length,25 inch,,,,,,,,HON-BF225-V6-25,275000.0,shopify,2,deny,manual,19999.00,21899.00,true,true,190238476022,,,,false,,,,kg,,14800.00,active
honda-bf225,,,,,,,,,30 inch,,,,,,,,HON-BF225-V6-30,277000.0,shopify,1,deny,manual,20499.00,22399.00,true,true,190238476023,,,,,,,,kg,,15050.00,
honda-bf150,Honda BF150 VTEC,"<p>Honda BF150 delivers V6 power in a 4-cylinder package. Features VTEC technology, lean burn control, and Variable Air Intake. Compatible with Honda's advanced digital controls.</p><ul>
<li>Engine Type: 4-cylinder DOHC VTEC</li>
<li>Displacement: 2354cc</li>
<li>Weight: 487 lbs (221 kg)</li>
<li>Fuel System: PGM-FI</li>
<li>Alternator: 55 amp</li>
<li>Variable Air Intake</li>
<li>Lean Burn Control</li>
</ul>",Honda Marine,,Outboard Motor,"150HP, 4-Stroke, Honda, VTEC",true,Shaft Length,20 inch,,,,,,,,HON-BF150-20,221000.0,shopify,3,deny,manual,14999.00,16399.00,true,true,190238476020,,,,false,,,,kg,,11100.00,active
honda-bf150,,,,,,,,,25 inch,,,,,,,,HON-BF150-25,223000.0,shopify,2,deny,manual,15299.00,16699.00,true,true,190238476021,,,,,,,,kg,,11250.00,
honda-bf115,Honda BF115 iST,"<p>Honda's BF115 features intelligent Shift &amp; Throttle (iST) for smooth, quiet shifting. VTEC technology provides exceptional performance across the RPM range. Variable intake timing optimizes torque.</p><ul>
<li>Engine Type: 4-cylinder DOHC VTEC</li>
<li>Displacement: 2354cc</li>
<li>Weight: 487 lbs (221 kg)</li>
<li>Fuel System: PGM-FI</li>
<li>Alternator: 55 amp</li>
<li>iST Technology</li>
<li>NMEA 2000 Compatible</li>
</ul>",Honda Marine,,Outboard Motor,"115HP, 4-Stroke, Honda, iST, VTEC",true,Shaft Length,20 inch,,,,,,,,HON-BF115-iST-20,221000.0,shopify,4,deny,manual,11999.00,13099.00,true,true,190238476018,,,,false,,,,kg,,8900.00,active
honda-bf115,,,,,,,,,25 inch,,,,,,,,HON-BF115-iST-25,223000.0,shopify,2,deny,manual,12299.00,13399.00,true,true,190238476019,,,,,,,,kg,,9050.00,
honda-bf90,Honda BF90 VTEC,"<p>Honda BF90 combines VTEC technology with lean burn control for maximum efficiency. Features Variable Valve Timing for improved low-end torque and top-end power.</p><ul>
<li>Engine Type: 4-cylinder SOHC VTEC</li>
<li>Displacement: 1496cc</li>
<li>Weight: 359 lbs (163 kg)</li>
<li>Fuel System: PGM-FI</li>
<li>Alternator: 40 amp</li>
<li>ECOmo Lean Burn</li>
<li>BLAST Technology</li>
</ul>",Honda Marine,,Outboard Motor,"4-Stroke, 90HP, ECOmo, Honda, VTEC",true,Shaft Length,20 inch,,,,,,,,HON-BF90-20,163000.0,shopify,6,deny,manual,9999.00,10999.00,true,true,190238476016,,,,false,,,,kg,,7400.00,active
honda-bf90,,,,,,,,,25 inch,,,,,,,,HON-BF90-25,164000.0,shopify,4,deny,manual,10199.00,11199.00,true,true,190238476017,,,,,,,,kg,,7500.00,
honda-bf75,Honda BF75 Mid-Range,"<p>Honda's BF75 delivers smooth 4-cylinder performance with excellent fuel economy. Features VTEC technology and lean burn control. Compatible with mechanical or digital controls.</p><ul>
<li>Engine Type: 4-cylinder SOHC VTEC</li>
<li>Displacement: 1496cc</li>
<li>Weight: 359 lbs (163 kg)</li>
<li>Fuel System: PGM-FI</li>
<li>Alternator: 40 amp</li>
<li>VTEC &amp; Lean Burn</li>
<li>NMEA 2000 Compatible</li>
</ul>",Honda Marine,,Outboard Motor,"4-Stroke, 75HP, Honda, VTEC",true,Shaft Length,20 inch,,,,,,,,HON-BF75-20,163000.0,shopify,5,deny,manual,8999.00,9799.00,true,true,190238476014,,,,false,,,,kg,,6700.00,active
honda-bf75,,,,,,,,,25 inch,,,,,,,,HON-BF75-25,164000.0,shopify,3,deny,manual,9199.00,9999.00,true,true,190238476015,,,,,,,,kg,,6800.00,
honda-bf50,Honda BF50 VTEC,"<p>Honda BF50 features VTEC technology for optimal power and efficiency. Boosted Low Speed Torque (BLAST) improves acceleration. Multi-port programmed fuel injection ensures smooth operation.</p><ul>
<li>Engine Type: 3-cylinder SOHC VTEC</li>
<li>Displacement: 808cc</li>
<li>Weight: 214 lbs (97 kg)</li>
<li>Fuel System: PGM-FI</li>
<li>VTEC Technology</li>
<li>BLAST System</li>
<li>NMEA Compatible</li>
</ul>",Honda Marine,,Outboard Motor,"4-Stroke, 50HP, Honda, PGM-FI, VTEC",true,Shaft Length,20 inch,,,,,,,,HON-BF50-V-20,97000.0,shopify,7,deny,manual,6799.00,7399.00,true,true,190238476012,,,,false,,,,kg,,5050.00,active
honda-bf50,,,,,,,,,25 inch,,,,,,,,HON-BF50-V-25,98000.0,shopify,5,deny,manual,6999.00,7599.00,true,true,190238476013,,,,,,,,kg,,5150.00,
honda-bf40,Honda BF40 Jet Drive,"<p>Honda's BF40 Jet Drive provides exceptional shallow water performance. Features BLAST technology and lean burn control for fuel efficiency. Perfect for river navigation and rocky conditions.</p><ul>
<li>Engine Type: 3-cylinder OHC</li>
<li>Displacement: 808cc</li>
<li>Weight: 214 lbs (97 kg)</li>
<li>Fuel System: 3 Carburetors</li>
<li>Jet Drive Propulsion</li>
<li>BLAST Technology</li>
<li>Shallow Water Capable</li>
</ul>",Honda Marine,,Outboard Motor,"4-Stroke, 40HP, BLAST, Honda, Jet Drive",true,Configuration,Jet Drive,,,,,,,,HON-BF40-JET,97000.0,shopify,4,deny,manual,6999.00,7699.00,true,true,190238476011,,,,false,,,,kg,,5200.00,active
honda-bf20,Honda BF20 Electric Start,"<p>Honda BF20 features electric start convenience and excellent fuel economy. Twin-cylinder reliability with PGM-IG CDI ignition. Compatible with tiller or remote control configurations.</p><ul>
<li>Engine Type: Twin cylinder OHV</li>
<li>Displacement: 350cc</li>
<li>Weight: 119 lbs (54 kg)</li>
<li>Fuel System: Single Carburetor</li>
<li>Alternator: 12 amp</li>
<li>Electric Start</li>
<li>Power Tilt Available</li>
</ul>",Honda Marine,,Outboard Motor,"20HP, 4-Stroke, Electric Start, Honda",true,Shaft Length,15 inch,,,,,,,,HON-BF20-E-15,54000.0,shopify,9,deny,manual,3299.00,3699.00,true,true,190238476009,,,,false,,,,kg,,2450.00,active
honda-bf20,,,,,,,,,20 inch,,,,,,,,HON-BF20-E-20,55000.0,shopify,6,deny,manual,3399.00,3799.00,true,true,190238476010,,,,,,,,kg,,2500.00,
honda-bf15,Honda BF15 Tiller Handle,"<p>Honda's BF15 delivers best-in-class performance with BLAST technology for improved hole shot. Features include tiller handle control, forward-mounted shift lever, and 6-amp charging system.</p><ul>
<li>Engine Type: Twin Cylinder</li>
<li>Displacement: 222cc</li>
<li>Weight: 104 lbs (47 kg)</li>
<li>Fuel System: Carburetor</li>
<li>BLAST Technology</li>
<li>Alternator: 6 amp</li>
<li>Warranty: 5 Year Limited</li>
</ul>",Honda Marine,,Outboard Motor,"15HP, 4-Stroke, BLAST, Honda, Tiller",true,Shaft Length,15 inch,,,,,,,,HON-BF15-T-15,47000.0,shopify,11,deny,manual,2599.00,2899.00,true,true,190238476007,,,,false,,,,kg,,1950.00,active
honda-bf15,,,,,,,,,20 inch,,,,,,,,HON-BF15-T-20,48000.0,shopify,8,deny,manual,2699.00,2999.00,true,true,190238476008,,,,,,,,kg,,2000.00,
honda-bf10,Honda BF10 Tiller,"<p>Honda's BF10 delivers twin-cylinder smoothness in a portable package. Features 5-amp charging system and gas-assist tilt for easy handling. Forward/Neutral/Reverse shift with 360° steering.</p><ul>
<li>Engine Type: Twin cylinder OHV</li>
<li>Displacement: 222cc</li>
<li>Weight: 93 lbs (42 kg)</li>
<li>Fuel System: Single Carburetor</li>
<li>Alternator: 5 amp</li>
<li>Gas-Assist Tilt</li>
<li>Shallow Water Drive</li>
</ul>",Honda Marine,Uncategorized,Outboard Motor,"10HP, 4-Stroke, Honda, Tiller",true,Shaft Length,15 inch,,,,,,,,HON-BF10-T-15,42000.0,shopify,14,deny,manual,2399.00,2699.00,true,true,190238476005,https://cdn.shopify.com/s/files/1/0775/1932/3393/files/bf10.webp?v=1756230658,1,"",false,,,,kg,,1800.00,active
honda-bf10,,,,,,,,,20 inch,,,,,,,,HON-BF10-T-20,43000.0,shopify,10,deny,manual,2499.00,2799.00,true,true,190238476006,,,,,,,,kg,,1850.00,
honda-bf5,Honda BF5 Portable,"<p>Honda BF5 features a larger fuel tank and enhanced performance. One-handed carrying design with integrated storage. Decompression system for easy starting and shallow water drive capability.</p><ul>
<li>Engine Type: Single cylinder OHV</li>
<li>Displacement: 127cc</li>
<li>Weight: 60 lbs (27 kg)</li>
<li>Fuel Tank: External 1.0 gallon</li>
<li>Alternator: Optional 6 amp</li>
<li>Decompression System</li>
<li>4-Front Corrosion System</li>
</ul>",Honda Marine,,Outboard Motor,"4-Stroke, 5HP, Honda, Portable",true,Shaft Length,15 inch,,,,,,,,HON-BF5-15,27000.0,shopify,18,deny,manual,1599.00,1799.00,true,true,190238476003,,,,false,,,,kg,,1200.00,active
honda-bf5,,,,,,,,,20 inch,,,,,,,,HON-BF5-20,27500.0,shopify,12,deny,manual,1699.00,1899.00,true,true,190238476004,,,,,,,,kg,,1250.00,
honda-bf2-3,Honda BF2.3 Portable,"<p>Honda's BF2.3 is the world's lightest 4-stroke outboard. Features centrifugal clutch for neutral at idle and air-cooled design for shallow water operation. Internal fuel tank for portability.</p><ul>
<li>Engine Type: Single cylinder OHV</li>
<li>Displacement: 57cc</li>
<li>Weight: 27 lbs (12.5 kg)</li>
<li>Cooling: Air-cooled</li>
<li>Fuel Tank: Internal 0.3 gallon</li>
<li>360° Steering</li>
<li>Centrifugal Clutch</li>
</ul>",Honda Marine,,Outboard Motor,"2.3HP, 4-Stroke, Air-cooled, Honda, Portable",true,Shaft Length,15 inch,,,,,,,,HON-BF2.3-15,12500.0,shopify,20,deny,manual,799.00,899.00,true,true,190238476001,,,,false,,,,kg,,600.00,active
honda-bf2-3,,,,,,,,,20 inch,,,,,,,,HON-BF2.3-20,13000.0,shopify,15,deny,manual,849.00,949.00,true,true,190238476002,,,,,,,,kg,,625.00,
